"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
6,641343,"Bauers, Jake",441,1.4,0.2,0.2,0.167,0.4,0.211,0.578,0.336,1,5,95.9,27.7,2454,91.8,92.17,0,6,0,0.4000000000000057,6.63,115,146,115,150,295,321,296,"0.393","-0.393","80.4","8.1",6,6,0,1,0,0,0,0,0,0,1.82167,0.93167,0.15833,-0.15833,"97.2",264,50,16.666666666666664,16.666666666666664,5.67,-1.59,-0.31,2.3,0.167,1,"-6.55",0.333,1.053,"6.55",-0.136,-0.166,-0.653,-0.367,0,"40.3",14.878023480214303,-4.247155452730908,33.11279261677082,0.6666666666666666,38.660951827348384,28.74362065264036
6,686780,"Pagés, Pedro",675,0.9,0.4,0,0.4,0.4,0.356,0.261,0.268,2,5,79.3,27.2,2482,87.5,87.15,0,6,0,-0.29999999999999716,6.12,97,150,121,146,302,321,287,"-0.199","0.199","63.0","6.2",6,6,2,0,0,0,0,0,0,0,2.575,0.415,-0.26333,0.16,"92.3",146,33.33333333333333,0,0,6.01,0.46,-0.3,2.67,0.4,0,"3.316666667",0.268,0.345,"-3.316666667",0.132,0.132,0.055,0.095,0,"50.6",-2.0795877657890767,-5.800096256506804,28.81818119371115,0.6666666666666666,34.839164826601504,37.68295040089815
6,678554,"Mead, Curtis",402,1.5,0.333,0,0.333,0.333,0.296,0.413,0.433,2,6,86.4,21.2,2544,90.8,90.55,0,6,0,-0.20000000000000284,6.05,104,151,118,146,310,317,274,"0.002","-0.002","69.2","7.2",6,6,2,0,0,0,0,0,0,0,2.19833,0.59167,0.13833,-0.455,"92.4",192,16.666666666666664,0,0,5.74,-0.3,0.33,2.75,0.333,0,"-0.033333333",0.433,0.511,"0.033333333",-0.1,-0.09999999999999998,-0.178,-0.117,0,"36.0",5.592877446058846,3.240675965496784,24.800578783008504,0.6666666666666666,42.28569015370692,29.69863435159433
6,687952,"Encarnacion-Strand, Christian",329,1.8,0.5,0.167,0.5,0.667,0.508,0.553,0.455,3,6,94.5,6.3,1957,82.9,82.67,0,6,0,-0.09999999999999432,6.05,117,151,120,147,296,312,293,"-0.816","0.816","76.5","7.4",6,6,2,1,0,0,0,0,0,0,3.93167,0.94833,0.59833,-0.03833,"98.4",172,50,33.33333333333333,33.33333333333333,5.87,-0.85,0.44,2.27,0.5,2,"13.6",0.455,0.841,"-13.6",0.045,0.044999999999999984,-0.174,-0.045,0,"34.9",15.309094365991527,-1.4491044748321111,34.25989642802105,0.5,43.115610551479676,33.411226620815384
6,672744,"Canario, Alexander",525,1.1,0.167,0,0.167,0.167,0.148,0.219,0.231,1,6,82.8,10.8,1735,87.4,87.2,0,6,0,-0.20000000000000284,6.18,114,150,120,145,312,320,291,"0.854","-0.854","74.1","8.0",6,6,1,0,0,0,0,0,0,0,2.57,0.536,0.85167,-0.165,"92.4",120,33.33333333333333,0,0,5.85,0.55,0.27,2.26,0.167,0,"-14.233333333",0.231,0.274,"14.233333333",-0.064,-0.064,-0.107,-0.071,0,"43.3",14.369974016198066,9.835202719555397,37.50119381029098,0.6666666666666666,38.70090689301143,27.106161076476386
6,701358,"Smith, Cam",865,0.7,0.167,0,0.167,0.167,0.148,0.299,0.285,1,6,88.7,12,2492,87.8,87.83,0,6,0,0,6.35,112,153,119,148,302,313,289,"0.52","-0.52","73.4","7.2",6,6,1,0,0,0,0,0,0,0,2.80667,0.19833,-0.11,-0.11,"94.9",103,50,0,0,6.06,-1.51,-0.12,2.71,0.167,0,"-8.666666667",0.285,0.417,"8.666666667",-0.118,-0.11799999999999997,-0.25,-0.151,0,"40.6",7.5563407987663505,-2.461698668701543,35.85251813451565,0.8333333333333334,37.188522447250755,29.362232902919107
6,694497,"Carter, Evan",267,2.2,0.167,0,0.167,0.167,0.148,0.286,0.234,1,6,92.4,24.2,2354,94.4,94.38,0,6,0,0,6.27,113,145,101,151,289,320,294,"1.141","-1.141","71.1","7.0",6,6,1,0,0,0,0,0,0,0,1.51667,1.05667,1.02667,-1.02667,"93.3",251,33.33333333333333,0,0,5.5,-1.65,0.12,2.47,0.167,0,"-19.016666667",0.234,0.441,"19.016666667",-0.067,-0.067,-0.274,-0.138,0,"34.3",4.302259224772239,-4.317470798152857,36.12836334961537,0.6666666666666666,31.793665975502126,30.945902792663695
6,677800,"Abreu, Wilyer",899,0.7,0.5,0,0.333,0.5,0.296,0.315,0.311,2,4,90.4,28.3,2210,96,96.72,0,6,0,0.7000000000000028,6.7,109,145,122,152,287,324,301,"0.086","-0.086","74.9","6.8",6,6,2,0,0,0,0,0,0,0,1.685,0.79667,0.90333,-0.90333,"95.0",237,50,0,0,5.78,-1.65,0.14,2.5,0.333,0,"-1.433333333",0.279,0.368,"1.433333333",0.189,0.05399999999999999,0.132,-0.019,0,"33.7",6.259420984338121,0.47686645411464457,32.21776056275178,0.6666666666666666,33.37278048564426,30.452033894019664
6,700242,"Sweeney, Trey",764,0.8,0.167,0,0.167,0.167,0.148,0.177,0.192,1,6,84.4,29.8,2371,88.4,89.25,0,6,0,0.8999999999999915,6.7,103,146,126,151,296,325,295,"0.72","-0.72","70.7","6.8",6,6,1,0,0,0,0,0,0,0,2.365,0.585,-0.09833,0.09833,"90.5",106,16.666666666666664,0,0,6.03,-1.83,-0.17,3.09,0.167,0,"-12",0.192,0.214,"12",-0.025,-0.024999999999999994,-0.047,-0.029,0,"45.6",2.760949283804668,5.559772282519579,20.694048558994044,0.5,34.72624266166695,29.821424291210253
6,656976,"Smith, Pavin",917,0.7,0.167,0,0.167,0.167,0.148,0.285,0.261,1,6,86.5,26.7,2215,87.5,87.58,0,6,0,0.09999999999999432,6.25,116,148,136,154,288,321,299,"1.147","-1.147","70.9","7.3",6,6,1,0,0,0,0,0,0,0,2.83667,0.16167,0.33167,-0.33167,"90.8",246,16.666666666666664,0,0,5.76,-1.71,-0.31,2.27,0.167,0,"-19.116666667",0.261,0.415,"19.116666667",-0.094,-0.094,-0.248,-0.137,0,"42.7",12.475821594382712,7.587229340179319,33.255647306953854,1,40.431192621014674,26.81197771526083
