Name,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,XBR,wSB,wRC,wRAA,wOBA,wRC+,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH,IFH%,BUH,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,Events,EV,EV90,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%,AVG,xBA,SLG,xSLG,wOBA,xwOBA
Austin Wells,67,250,11,26,44,3,6.40%,24.80%,0.216,0.237,0.216,0.276,0.432,0.303,0.3,94,0,-1.8,9.3,1.7,6.40%,24.80%,0.26,0.216,0.276,0.432,0.708,0.216,4.4,0.237,0.1,-0.1,27,-2.1,0.303,94,0.237,0.62,15.10%,32.50%,52.40%,12.60%,12.60%,1,1.90%,0,0.00%,37.70%,33.50%,28.70%,16.20%,50.90%,32.90%,205,92,107.3,113.2,23.4,41,20.00%,102,49.80%,0.281,0.259,0.667,0.593,0.438,0.401
Ben Rice,67,258,14,36,29,3,8.50%,21.70%,0.254,0.258,0.241,0.323,0.496,0.353,0.412,129,-0.5,8,-4.5,1.3,8.50%,21.70%,0.39,0.241,0.323,0.496,0.819,0.254,4.9,0.258,0.1,-0.6,38,8.1,0.353,129,0.258,1.26,19.10%,45.10%,35.80%,4.80%,22.60%,2,2.60%,0,0.00%,52.60%,28.30%,19.10%,11.00%,47.40%,41.60%,216,93.9,109,113.8,13.8,38,17.60%,117,54.20%,0.256,0.275,0.481,0.557,0.366,0.399
Bo Bichette,78,355,11,38,48,4,5.40%,16.10%,0.163,0.305,0.277,0.318,0.44,0.329,0.374,113,-1.7,3.4,-0.4,1.5,5.40%,16.10%,0.33,0.277,0.318,0.44,0.758,0.163,3.2,0.305,-0.8,-0.9,45,4.2,0.329,113,0.305,1.47,21.70%,46.60%,31.80%,4.50%,12.50%,5,3.90%,0,0.00%,29.20%,40.40%,30.30%,13.70%,48.70%,37.50%,211,90.5,105.3,109.3,15.5,21,10.00%,80,37.90%,0.281,0.299,0.417,0.522,0.358,0.397
Bobby Witt Jr.,79,342,10,42,40,21,7.60%,18.10%,0.201,0.32,0.282,0.339,0.484,0.348,0.382,120,3.8,11.8,13.2,3.8,7.60%,18.10%,0.42,0.282,0.339,0.484,0.823,0.201,6.6,0.32,2.5,1.3,49,9.3,0.348,120,0.32,0.79,23.10%,33.90%,43.00%,11.10%,9.30%,10,11.80%,0,0.00%,33.50%,35.90%,30.70%,14.30%,47.80%,37.80%,217,93.8,108.2,112.1,13.3,36,16.60%,119,54.80%,0.268,0.272,0.492,0.531,0.381,0.397
Brandon Lowe,73,303,15,46,42,2,6.60%,24.10%,0.196,0.304,0.264,0.314,0.461,0.336,0.357,120,-0.5,6.5,-5.4,1.2,6.60%,24.10%,0.27,0.264,0.314,0.461,0.774,0.196,3.3,0.304,0,-0.5,40,5.2,0.336,120,0.304,1.14,22.00%,41.60%,36.40%,5.30%,19.70%,9,10.30%,0,0.00%,48.80%,31.10%,20.10%,12.00%,47.80%,40.20%,243,91.7,106.6,111.7,15,34,14.00%,113,46.50%,0.278,0.299,0.492,0.555,0.367,0.396
Brandon Nimmo,76,312,15,37,41,6,8.00%,19.20%,0.208,0.267,0.251,0.314,0.459,0.334,0.343,117,0.2,6.3,-2.3,1.5,8.00%,19.20%,0.42,0.251,0.314,0.459,0.773,0.208,3.8,0.267,-0.1,0.4,41,5.1,0.334,117,0.267,1.12,14.20%,45.30%,40.40%,6.60%,16.50%,2,2.00%,0,0.00%,32.90%,37.80%,29.30%,13.80%,54.70%,31.60%,168,91.2,105.1,109.8,19,20,11.90%,78,46.40%,0.33,0.299,0.541,0.523,0.415,0.395
Brendan Donovan,72,314,5,43,29,3,8.00%,13.10%,0.128,0.347,0.31,0.377,0.438,0.357,0.372,130,1.4,12.4,0,2.3,8.00%,13.10%,0.61,0.31,0.377,0.438,0.815,0.128,3.3,0.347,1.8,-0.4,47,10.7,0.357,130,0.347,1.31,22.40%,44.00%,33.60%,6.20%,6.20%,2,1.90%,0,0.00%,35.50%,39.30%,25.20%,12.80%,57.00%,30.20%,238,93.5,108.7,112.8,7.9,29,12.20%,124,52.10%,0.264,0.287,0.459,0.536,0.353,0.39
Brent Rooker,81,354,16,49,43,2,9.90%,20.90%,0.215,0.317,0.278,0.353,0.492,0.367,0.396,139,-0.4,15.2,-9.4,1.8,9.90%,20.90%,0.47,0.278,0.353,0.492,0.845,0.215,3.9,0.317,0.1,-0.6,56,15.1,0.367,139,0.317,0.93,21.40%,37.90%,40.70%,6.10%,16.20%,5,5.40%,0,0.00%,41.20%,37.90%,21.00%,14.80%,48.10%,37.00%,185,90.4,105.4,112.3,18,30,16.20%,83,44.90%,0.256,0.274,0.466,0.542,0.355,0.389
Brenton Doyle,67,280,5,26,25,8,7.10%,25.70%,0.112,0.246,0.194,0.25,0.306,0.248,0.31,41,1.3,-18.2,1.7,-0.8,7.10%,25.70%,0.28,0.194,0.25,0.306,0.556,0.112,6.5,0.246,0.1,1.3,18,-14.9,0.248,41,0.246,1.11,17.60%,43.30%,39.00%,8.20%,6.80%,6,7.40%,0,0.00%,44.10%,33.00%,22.90%,14.40%,45.70%,39.90%,206,92.7,107.8,115.8,16.1,32,15.50%,103,50.00%,0.255,0.269,0.573,0.565,0.388,0.389
Brice Turang,77,330,5,51,31,16,10.60%,22.10%,0.09,0.349,0.277,0.353,0.367,0.322,0.334,104,1.5,3.2,1.5,1.6,10.60%,22.10%,0.48,0.277,0.353,0.367,0.719,0.09,5,0.349,1.7,-0.3,40,2.2,0.322,104,0.349,1.66,23.60%,47.70%,28.70%,0.00%,8.10%,14,13.60%,3,60.00%,22.60%,40.30%,37.10%,8.60%,61.10%,30.30%,248,92.5,108.3,114.8,14.4,31,12.50%,125,50.40%,0.302,0.304,0.498,0.529,0.372,0.387
Bryan Reynolds,75,326,8,27,39,3,8.90%,25.80%,0.14,0.296,0.233,0.304,0.373,0.298,0.363,86,0,-5.4,-7.4,-0.2,8.90%,25.80%,0.35,0.233,0.304,0.373,0.677,0.14,3.5,0.296,0.7,-0.7,34,-4.1,0.298,86,0.296,1.47,22.70%,46.00%,31.30%,1.50%,12.10%,3,3.10%,0,0.00%,40.30%,37.90%,21.80%,10.00%,54.00%,36.00%,168,91.6,107.1,111.3,14.5,18,10.70%,83,49.40%,0.258,0.286,0.446,0.506,0.356,0.387
Bryce Harper,57,253,9,32,34,8,13.80%,18.60%,0.188,0.289,0.258,0.368,0.446,0.356,0.387,127,1.1,9.2,-6.5,1.1,13.80%,18.60%,0.74,0.258,0.368,0.446,0.814,0.188,4.6,0.289,0,1.2,38,8.5,0.356,127,0.289,0.77,20.40%,34.70%,44.90%,0.00%,12.00%,1,1.70%,1,100.00%,35.10%,33.30%,31.50%,10.70%,56.50%,32.70%,195,91.2,107.6,112.1,14.3,23,11.80%,95,48.70%,0.252,0.269,0.414,0.495,0.355,0.386
Bryson Stott,71,291,5,32,34,12,8.90%,17.90%,0.103,0.282,0.24,0.31,0.344,0.293,0.31,84,2,-3.4,3.4,1,8.90%,17.90%,0.5,0.24,0.31,0.344,0.654,0.103,5.9,0.282,1.3,0.7,29,-4.9,0.293,84,0.282,0.88,20.10%,37.30%,42.60%,7.90%,5.60%,6,7.70%,2,66.70%,29.20%,39.20%,31.60%,16.00%,58.00%,25.90%,178,91,104.5,111.9,16.1,25,14.00%,81,45.50%,0.267,0.27,0.496,0.542,0.371,0.386
Byron Buxton,62,266,17,46,47,13,8.60%,27.40%,0.28,0.327,0.28,0.346,0.559,0.382,0.355,149,4.6,19.6,1.1,3.1,8.60%,27.40%,0.32,0.28,0.346,0.559,0.905,0.28,8.3,0.327,2.4,2.2,45,14.4,0.382,149,0.327,0.84,16.20%,38.30%,45.50%,14.50%,22.40%,7,10.90%,0,0.00%,52.70%,28.10%,19.20%,12.60%,48.50%,38.90%,177,91.1,106.2,110.5,19,23,13.00%,90,50.80%,0.246,0.256,0.441,0.514,0.357,0.385
Cal Raleigh,77,339,32,58,69,9,13.60%,24.80%,0.385,0.283,0.281,0.386,0.667,0.438,0.401,194,-0.8,35.7,4.9,5.4,13.60%,24.80%,0.55,0.281,0.386,0.667,1.053,0.385,4,0.283,-1.3,0.5,73,33.6,0.438,194,0.283,0.45,20.00%,24.90%,55.10%,15.00%,28.30%,5,9.80%,0,0.00%,54.60%,26.80%,18.50%,18.00%,40.50%,41.50%,186,91.1,103.8,109.4,10.9,16,8.60%,93,50.00%,0.304,0.311,0.489,0.503,0.38,0.385
Cam Smith,65,246,5,29,27,3,8.50%,26.40%,0.135,0.355,0.266,0.337,0.401,0.328,0.342,112,0.3,3.7,-0.7,1.2,8.50%,26.40%,0.32,0.266,0.337,0.401,0.738,0.135,4.4,0.355,0.5,-0.2,31,2.6,0.328,112,0.355,2.08,27.40%,49.00%,23.60%,2.70%,13.50%,4,5.20%,0,0.00%,40.80%,35.00%,24.20%,14.60%,51.00%,34.40%,251,93.6,108.9,114.8,15.2,31,12.40%,125,49.80%,0.282,0.306,0.484,0.52,0.348,0.382
Carlos Correa,68,266,6,30,24,0,6.00%,19.50%,0.129,0.307,0.261,0.305,0.39,0.305,0.324,95,-1.3,-2.7,3.5,1,6.00%,19.50%,0.31,0.261,0.305,0.39,0.694,0.129,1.5,0.307,-0.9,-0.4,29,-2,0.305,95,0.307,1.48,21.20%,47.00%,31.80%,12.70%,9.50%,8,8.60%,0,0.00%,41.40%,32.80%,25.80%,17.70%,53.50%,28.80%,198,91.3,104.4,111.6,14.1,19,9.60%,88,44.40%,0.315,0.298,0.512,0.509,0.383,0.376
Carlos Santana,72,294,9,36,37,4,11.60%,17.70%,0.13,0.265,0.24,0.333,0.37,0.314,0.311,102,-1.6,-0.8,-2.1,0.7,11.60%,17.70%,0.65,0.24,0.333,0.37,0.703,0.13,3.8,0.265,-1.8,0.3,34,0,0.314,102,0.265,1.06,15.60%,43.40%,41.00%,19.00%,10.70%,7,7.90%,0,0.00%,52.20%,32.70%,15.10%,22.00%,44.40%,33.70%,165,90.4,108.4,112.9,15.1,24,14.50%,77,46.70%,0.226,0.264,0.473,0.545,0.337,0.376
Ceddanne Rafaela,76,280,8,42,30,11,5.00%,20.70%,0.159,0.295,0.252,0.3,0.411,0.311,0.33,93,3.3,1,9.6,2.1,5.00%,20.70%,0.24,0.252,0.3,0.411,0.71,0.159,7.3,0.295,1.9,1.4,32,-0.8,0.311,93,0.295,1.14,14.90%,45.30%,39.80%,8.80%,10.00%,6,6.60%,0,0.00%,35.30%,40.70%,24.00%,14.20%,52.00%,33.80%,165,94,107.5,113.5,20,17,10.30%,85,51.50%,0.243,0.263,0.452,0.484,0.359,0.374
Cedric Mullins,63,256,12,31,35,8,10.20%,25.40%,0.208,0.247,0.217,0.302,0.425,0.319,0.297,107,0.2,2.2,-3.7,0.7,10.20%,25.40%,0.4,0.217,0.302,0.425,0.727,0.208,4.4,0.247,-0.3,0.4,31,0.9,0.319,107,0.247,0.48,17.70%,26.60%,55.70%,15.90%,13.60%,3,7.10%,3,60.00%,46.00%,28.80%,25.20%,21.50%,47.90%,30.70%,257,93.7,109.4,114,4.8,27,10.50%,142,55.30%,0.289,0.309,0.47,0.515,0.348,0.374
