"Player","Team","Pos","Fantasy Points Pts","Fantasy Points x-Pts","Fantasy Points +/-","Points Per Game PPG","Points Per Game x-PPG","Points Per Game +/-","#G","Receiving Rec","Receiving X-Rec","Receiving Yds","Receiving X-Yds","Receiving TD","Receiving X-TD","Rushing Yds","Rushing X-Yds","Rushing TD","Rushing X-TD"
"Jeff Wilson Jr.","MIA","RB","10.6","14.8","-4.200000000000001","1.2","1.6","-0.5","9","3","2.6","19","19.33","0","0.0576","57","63.8666","0","0.59"
"Jaylen Wright","MIA","RB","28.7","43","-14.3","1.9","2.9","-1","15","3","4.98","8","28.77","0","0.2976","249","303.9176","0","0.49"
"Jonathon Brooks","CAR","RB","7.5","14.2","-6.699999999999999","2.5","4.7","-2.2","3","3","2.7","23","10.46","0","0.4992","22","36.6324","0","0.64"
"Tyler Badie","DEN","RB","11.4","10.2","1.200000000000001","3.8","3.4","0.4","3","3","2.7","-2","16.54","0","0.1152","86","48.412","0","0.05"
"Deuce Vaughn","DAL","RB","11.8","16.2","-4.399999999999999","2","2.7","-0.7","6","3","3.52","18","25.71","0","0","70","73.9214","0","0.45"
"DeeJay Dallas","ARZ","RB","15","12.3","2.6999999999999993","2.5","2.1","0.4","6","3","2.61","11","11.47","1","0.7392","49","38.2298","0","0.05"
"Patrick Ricard","BLT","RB","11.2","9.9","1.299999999999999","0.7","0.6","0.1","17","3","3.25","22","23.69","1","0.72","0","0","0","0"
"Sione Vaki","DET","RB","8.1","8","0.09999999999999964","0.8","0.8","0","10","3","2.43","37","26.88","0","0","14","25.9406","0","0.04"
"Julius Chestnut","TEN","RB","13.3","17.2","-3.8999999999999986","1.3","1.7","-0.4","10","2","2.71","11","18.35","0","0.0288","102","91.5418","0","0.56"
"Dameon Pierce","HST","RB","43.5","26.2","17.3","4.3","2.6","1.7","10","2","3.49","2","19.33","0","0.096","293","175.2828","2","0.44"
"J.J. Taylor","HST","RB","6.4","9.7","-3.299999999999999","1.6","2.4","-0.8","4","2","2.39","0","12.16","0","0","44","42.5124","0","0.3"
"Jacob Kibodi","CLV","RB","4.9","8","-3.0999999999999996","4.9","8","-3.1","1","1","2.39","15","18.81","0","0.2304","24","22.8242","0","0.01"
"Velus Jones Jr.","CAR","RB","2.9","2.7","0.19999999999999973","1.4","1.4","0.1","2","1","0.95","8","3.79","0","0","11","13.2104","0","0.01"
"Dalvin Cook","DAL","RB","4","5.7","-1.7000000000000002","2","2.9","-0.9","2","1","0.84","10","8.61","0","0","20","38.3768","0","0.02"
"Blake Watson","DEN","RB","3.3","5","-1.7000000000000002","1.6","2.5","-0.9","2","1","1.77","13","10.56","0","0.0576","10","16.6796","0","0.03"
"Chris Collier","LV","RB","1.8","5.7","-3.9000000000000004","0.6","1.9","-1.3","3","1","1.87","-4","11.98","0","0.0192","12","23.0006","0","0.04"
"Mike Boone","CAR","RB","5.9","11.2","-5.299999999999999","1.2","2.2","-1.1","5","1","2.88","-2","14.7","0","0.0096","51","55.9188","0","0.2"
"MarShawn Lloyd","GB","RB","2.8","4.6","-1.7999999999999998","2.8","4.6","-1.8","1","1","0.95","3","4.84","0","0.0288","15","27.9006","0","0.04"
"Keaton Mitchell","BLT","RB","6.8","8.3","-1.5000000000000009","1.7","2.1","-0.4","4","1","0.93","28","3.53","0","0","30","68.796","0","0.03"
"Marcus Jones","NE","RB","3.3","1.9","1.4","1.1","0.6","0.5","3","1","0.98","18","4.71","0","0","5","4.6648","0","0"
"Myles Gaskin","MIN","RB","2","3.3","-1.2999999999999998","1","1.6","-0.6","2","1","0.91","11","7.43","0","0","-1","12.7204","0","0.06"
"Ben VanSumeren","PHI","RB","1","2","-1","0.2","0.3","-0.2","6","1","0.84","0","4.95","0","0.1152","0","0","0","0"
"Cody Schrader","LA","RB","1.9","2.1","-0.20000000000000018","1.9","2.1","-0.2","1","1","0.88","6","7.55","0","0","3","4.704","0","0"
"Jermar Jefferson","DET","RB","4.2","8.6","-4.3999999999999995","2.1","4.3","-2.2","2","1","0.87","10","6.84","0","0","22","19.2672","0","0.85"
"Chris Rodriguez Jr.","WAS","RB","31.5","29.7","1.8000000000000007","4.5","4.2","0.3","7","1","0.87","12","7.23","0","0","173","132.6234","2","2.47"
"George Holani","SEA","RB","1.9","2.9","-1","0.9","1.4","-0.5","2","1","0.9","-1","6.16","0","0","10","13.867","0","0"
"Reggie Gilliam","BUF","RB","0.7","2.9","-2.2","0","0.2","-0.2","14","0","0","0","0","0","0","7","10.3488","0","0.31"
"Andrew Beck","HST","RB","0","2.2","-2.2","0","0.6","-0.6","4","0","0.57","0","16.33","0","0","0","0","0","0"
"Jase McClellan","ATL","RB","3.2","6","-2.8","1.6","3","-1.4","2","0","0","0","0","0","0","32","57.8788","0","0.03"
"Ke'Shawn Vaughn","SF","RB","0.4","1","-0.6","0.4","1","-0.6","1","0","0","0","0","0","0","4","9.6334","0","0.01"
"Dylan Laube","LV","RB","0","0.5","-0.5","0","0.3","-0.3","2","0","0","0","0","0","0","0","4.5766","0","0"
"Rasheen Ali","BLT","RB","3.1","7.8","-4.699999999999999","0.8","1.9","-1.2","4","0","1.84","0","8.25","0","0.0192","31","40.0134","0","0.17"
"Darrynton Evans","CHI","RB","0.3","1.4","-1.0999999999999999","0.3","1.4","-1.1","1","0","0","0","0","0","0","3","14.3374","0","0"
"Tyrion Davis-Price","PHI","RB","0.7","1.6","-0.9000000000000001","0.7","1.6","-0.9","1","0","0","0","0","0","0","7","13.7788","0","0.03"
"Raheem Blackshear","CAR","RB","8","7.4","0.5999999999999996","0.9","0.8","0.1","9","0","0","0","0","0","0","80","69.3056","0","0.07"
"Aaron Shampklin","PIT","RB","1.7","4.6","-2.8999999999999995","0.6","1.5","-1","3","0","0","0","0","0","0","17","21.5894","0","0.4"
"British Brooks","HST","RB","0.2","0.4","-0.2","0.1","0.2","-0.1","2","0","0","0","0","0","0","2","3.8612","0","0.01"
"Jonathan Ward","PIT","RB","2.2","2.4","-0.19999999999999973","0.7","0.8","-0.1","3","0","0","0","0","0","0","22","21.9814","0","0.03"
"Joshua Kelley","TEN","RB","0.2","0.6","-0.39999999999999997","0.1","0.3","-0.2","2","0","0","0","0","0","0","2","5.5664","0","0"
"Adam Prentice","NO","RB","0","4.7","-4.7","0","0.3","-0.3","17","0","2.76","0","19.04","0","0","0","0","0","0"
"Terrell Jennings","NE","RB","3.3","12.3","-9","1.6","6.2","-4.5","2","0","1.34","0","14.87","0","0.3648","33","57.9866","0","0.25"
"Tony Jones Jr.","ARZ","RB","11.5","1.9","9.6","11.5","1.9","9.6","1","0","0","0","0","0","0","55","18.571","1","0.01"
